peak_name,height_metres,prominence_metres,first_ascent_country,first_ascent_date,first_ascent_summiteers,first_winter_ascent_date,first_winter_ascent_summiteers
Everest,"8,849 m(29,032 ft)","8,849 m(29,032 ft)",Nepal China,29 May 1953,Edmund Hillary Tenzing Norgayon British expedition,17 February 1980,Krzysztof Wielicki Leszek Cichy
K2,"8,611 m(28,251 ft)","4,020 m(13,190 ft)",Pakistan China,31 July 1954,Achille Compagnoni Lino Lacedelli on Italian expedition,16 January 2021,Nirmal Purja Gelje Sherpa Mingma David Sherpa Mingma Gyalje Sherpa Sona Sherpa Mingma Tenzi Sherpa Pem Chhiri Sherpa Dawa Temba Sherpa Kili Pemba Sherpa Dawa Tenjing Sherpa
Kangchenjunga,"8,586 m(28,169 ft)","3,922 m(12,867 ft)",Nepal India,25 May 1955,George Band Joe Brownon British expedition,11 January 1986,Krzysztof Wielicki Jerzy Kukuczka
Lhotse,"8,516 m(27,940 ft)","610 m(2,000 ft)",Nepal China,18 May 1956,Fritz Luchsinger Ernst Reiss,31 December 1988,Krzysztof Wielicki
Makalu,"8,485 m(27,838 ft)","2,378 m(7,802 ft)",Nepal China,15 May 1955,Jean Couzy Lionel Terrayon French expedition,9 February 2009,Simone Moro Denis Urubko
Cho Oyu,"8,188 m(26,864 ft)","2,344 m(7,690 ft)",Nepal China,19 October 1954,Joseph Joechler [de] Pasang Dawa Lama Herbert Tichy,12 February 1985,Maciej Berbeka Maciej Pawlikowski
Dhaulagiri I,"8,167 m(26,795 ft)","3,357 m(11,014 ft)",Nepal,13 May 1960,Kurt Diemberger Peter Diener [de] Nawang Dorje Nima Dorje Ernst Forrer Albin Schelbert,21 January 1985,Andrzej Czok Jerzy Kukuczka
Manaslu,"8,163 m(26,781 ft)","3,092 m(10,144 ft)",Nepal,9 May 1956,Toshio Imanishi [ja] Gyalzen Norbu,12 January 1984,Maciej Berbeka Ryszard Gajewski
Nanga Parbat,"8,125 m(26,657 ft)","4,608 m(15,118 ft)",Pakistan,3 July 1953,Hermann Buhlon German–Austrian expedition,26 February 2016,Muhammad Ali Sadpara Simone Moro Alex Txikon [es]
Annapurna I,"8,091 m(26,545 ft)","2,984 m(9,790 ft)",Nepal,3 June 1950,Maurice Herzog Louis Lachenal on French expedition,3 February 1987,Jerzy Kukuczka Artur Hajzer
Gasherbrum I(Hidden Peak),"8,080 m(26,510 ft)","2,155 m(7,070 ft)",Pakistan China,5 July 1958,Andrew Kauffman Pete Schoening,9 March 2012,Adam Bielecki Janusz Gołąb [pl]
Broad Peak,"8,051 m(26,414 ft)","1,701 m(5,581 ft)",Pakistan China,9 June 1957,Fritz Wintersteller Marcus Schmuck Kurt Diemberger Hermann Buhl,5 March 2013,Maciej Berbeka Adam Bielecki Tomasz Kowalski [pl] Artur Małek [pl]
Gasherbrum II,"8,034 m(26,358 ft)","1,524 m(5,000 ft)",Pakistan China,7 July 1956,Fritz Moravec Josef Larch [de] Hans Willenpart [de],2 February 2011,Simone Moro Denis Urubko Cory Richards
Shishapangma,"8,027 m(26,335 ft)","2,897 m(9,505 ft)",China,2 May 1964,Xu Jing Chang Chun-yen Wang Fuzhou Chen San Cheng Tien-liang Wu Tsung-yue Sodnam Doji Migmar Trashi Doji Yonten,14 January 2005,Piotr Morawski Simone Moro
