summit_order,summit_order_no_oxygen,climber_name,climbing_period,born_year,age_at_completion,nationality,birth_date,death_date,death_cause,death_place,gender,citizenship,wiki_title,wiki_url,photo_url
1,1,Reinhold Messner,1970–1986,1944,42,Italian,+1944-09-17T00:00:00Z,,,,male,Italy,Reinhold Messner,https://en.wikipedia.org/wiki/Reinhold_Messner,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/2024-02-26-Reinhold_Messner-Hart_aber_fair-2539.jpg/500px-2024-02-26-Reinhold_Messner-Hart_aber_fair-2539.jpg
2,,Jerzy Kukuczka,1979–1987,1948,39,Polish,+1948-03-24T00:00:00Z,+1989-10-24T00:00:00Z,falling from height,Lhotse,male,Polish People's Republic,Jerzy Kukuczka,https://en.wikipedia.org/wiki/Jerzy_Kukuczka,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Jerzy_Kukuczka_Mount_Everest_1980.jpg/500px-Jerzy_Kukuczka_Mount_Everest_1980.jpg
3,2,Erhard Loretan,1982–1995,1959,36,Swiss,+1959-04-28T00:00:00Z,+2011-04-28T00:00:00Z,falling from height,Grünhorn,male,Switzerland,Erhard Loretan,https://en.wikipedia.org/wiki/Erhard_Loretan,
4,,Carlos Carsolio,1985–1996,1962,33,Mexican,+1962-10-04T00:00:00Z,,,,male,Mexico,Carlos Carsolio,https://en.wikipedia.org/wiki/Carlos_Carsolio,
5,,Krzysztof Wielicki,1980–1996,1950,46,Polish,+1950-01-05T00:00:00Z,,,,male,Poland,Krzysztof Wielicki,https://en.wikipedia.org/wiki/Krzysztof_Wielicki,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/2018_-_Pol%E2%80%99and%E2%80%99Rock_Festival_-_Krzysztof_Wielicki_02.jpg/500px-2018_-_Pol%E2%80%99and%E2%80%99Rock_Festival_-_Krzysztof_Wielicki_02.jpg
6,3,Juanito Oiarzabal,1985–1999,1956,43,Spanish,+1956-03-30T00:00:00Z,,,,male,Spain,Juanito Oiarzabal,https://en.wikipedia.org/wiki/Juanito_Oiarzabal,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Juanito_Oiarzabal_ME.jpg/500px-Juanito_Oiarzabal_ME.jpg
7,,Sergio Martini,1983–2000,1949,51,Italian,+1949-07-29T00:00:00Z,,,,male,Italy,Sergio Martini,https://en.wikipedia.org/wiki/Sergio_Martini,
8,,Park Young-seok,1993–2001,1963,38,Korean,+1963-11-02T00:00:00Z,+2011-10-01T00:00:00Z,,Annapurna,male,South Korea,Park Young-seok,https://en.wikipedia.org/wiki/Park_Young-seok,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/%EB%B0%95%EC%98%81%EC%84%9D_%EB%8C%80%EC%9E%A5.jpg/500px-%EB%B0%95%EC%98%81%EC%84%9D_%EB%8C%80%EC%9E%A5.jpg
9,,Um Hong-gil,1988–2001,1960,40,Korean,+1960-09-14T00:00:00Z,,,,male,South Korea,Um Hong-gil,https://en.wikipedia.org/wiki/Um_Hong-gil,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/%EC%A3%BC%ED%95%9C_%EB%AF%B8_%EA%B3%B5%EA%B5%B0_%EC%98%A4%EC%82%B0%EA%B8%B0%EC%A7%80%EC%86%8C%EB%B0%A9%EC%84%9C_%EC%84%A0%EC%9E%84%EC%86%8C%EB%B0%A9%EA%B2%80%EC%97%B4%EA%B4%80_%EC%9D%B4%EA%B1%B4_%28Yi_Kon%29_%EC%82%B0%EC%95%85%EC%9D%B8_%EC%97%84%ED%99%8D%EA%B8%B8_%EB%8C%80%EC%9E%A5.jpg/500px-%EC%A3%BC%ED%95%9C_%EB%AF%B8_%EA%B3%B5%EA%B5%B0_%EC%98%A4%EC%82%B0%EA%B8%B0%EC%A7%80%EC%86%8C%EB%B0%A9%EC%84%9C_%EC%84%A0%EC%9E%84%EC%86%8C%EB%B0%A9%EA%B2%80%EC%97%B4%EA%B4%80_%EC%9D%B4%EA%B1%B4_%28Yi_Kon%29_%EC%82%B0%EC%95%85%EC%9D%B8_%EC%97%84%ED%99%8D%EA%B8%B8_%EB%8C%80%EC%9E%A5.jpg
10,4,Alberto Iñurrategi,1991–2002,1968,33,Spanish,+1968-11-03T00:00:00Z,,,,male,Spain,Alberto Iñurrategi,https://en.wikipedia.org/wiki/Alberto_Iñurrategi,https://upload.wikimedia.org/wikipedia/commons/6/65/Alberto_I%C3%B1urrategi_-_2012.jpg
